"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2294","Search an inexistent product","Regular User Test","Fri Feb 28 14:50:35 GMT 2025","passed","Fri Feb 28 14:50:38 GMT 2025","","","",""
"","533","Login failed - Empty password","Login Test","Fri Feb 28 14:50:19 GMT 2025","passed","Fri Feb 28 14:50:20 GMT 2025","","","",""
"","4395","Create a new admin user successfully","Signup Test","Fri Feb 28 14:50:26 GMT 2025","passed","Fri Feb 28 14:50:30 GMT 2025","","","",""
"","476","Login failed - Empty email","Login Test","Fri Feb 28 14:50:19 GMT 2025","passed","Fri Feb 28 14:50:19 GMT 2025","","","",""
"","2942","Add a new product","Admin User Test","Fri Feb 28 14:50:31 GMT 2025","passed","Fri Feb 28 14:50:34 GMT 2025","","","",""
"","447","Should return the products list","Test endpoint /produtos/","Fri Feb 28 14:50:12 GMT 2025","passed","Fri Feb 28 14:50:12 GMT 2025","","","",""
"","4447","Create a new user successfully","Signup Test","Fri Feb 28 14:50:21 GMT 2025","passed","Fri Feb 28 14:50:26 GMT 2025","","","",""
"","118","Should create an user successfully","Test endpoint /usuarios/","Fri Feb 28 14:50:13 GMT 2025","passed","Fri Feb 28 14:50:14 GMT 2025","","","",""
"","1903","Login successfully","Login Test","Fri Feb 28 14:50:16 GMT 2025","passed","Fri Feb 28 14:50:18 GMT 2025","","","",""
"","123","Should return the user list","Test endpoint /usuarios/","Fri Feb 28 14:50:14 GMT 2025","passed","Fri Feb 28 14:50:14 GMT 2025","","","",""
"","246","Login failed - Empty password and email","Login Test","Fri Feb 28 14:50:20 GMT 2025","passed","Fri Feb 28 14:50:20 GMT 2025","","","",""
"","963","Login failed - Invalid email and/or password","Login Test","Fri Feb 28 14:50:18 GMT 2025","passed","Fri Feb 28 14:50:19 GMT 2025","","","",""
