"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2460","Search an inexistent product","Regular User Test","Fri Feb 28 14:12:01 UTC 2025","passed","Fri Feb 28 14:12:04 UTC 2025","","","",""
"","543","Login failed - Empty email","Login Test","Fri Feb 28 14:11:44 UTC 2025","passed","Fri Feb 28 14:11:45 UTC 2025","","","",""
"","2100","Login successfully","Login Test","Fri Feb 28 14:11:41 UTC 2025","passed","Fri Feb 28 14:11:43 UTC 2025","","","",""
"","4470","Create a new admin user successfully","Signup Test","Fri Feb 28 14:11:51 UTC 2025","passed","Fri Feb 28 14:11:56 UTC 2025","","","",""
"","80","Should create an user successfully","Test endpoint /usuarios/","Fri Feb 28 14:11:39 UTC 2025","passed","Fri Feb 28 14:11:39 UTC 2025","","","",""
"","66","Should return the user list","Test endpoint /usuarios/","Fri Feb 28 14:11:39 UTC 2025","passed","Fri Feb 28 14:11:39 UTC 2025","","","",""
"","588","Login failed - Empty password","Login Test","Fri Feb 28 14:11:45 UTC 2025","passed","Fri Feb 28 14:11:45 UTC 2025","","","",""
"","3197","Add a new product","Admin User Test","Fri Feb 28 14:11:57 UTC 2025","passed","Fri Feb 28 14:12:00 UTC 2025","","","",""
"","4535","Create a new user successfully","Signup Test","Fri Feb 28 14:11:47 UTC 2025","passed","Fri Feb 28 14:11:51 UTC 2025","","","",""
"","296","Login failed - Empty password and email","Login Test","Fri Feb 28 14:11:45 UTC 2025","passed","Fri Feb 28 14:11:46 UTC 2025","","","",""
"","181","Should return the products list","Test endpoint /produtos/","Fri Feb 28 14:11:37 UTC 2025","passed","Fri Feb 28 14:11:38 UTC 2025","","","",""
"","1052","Login failed - Invalid email and/or password","Login Test","Fri Feb 28 14:11:43 UTC 2025","passed","Fri Feb 28 14:11:44 UTC 2025","","","",""
